RIDRETH3,FSDHH,behavior,frequency
4,Marginal,freq8,0.1414141414141414
4,Low,freq1,0.24472573839662448
4,Low,freq2,0.12236286919831224
4,Low,freq3,0.10548523206751055
4,Low,freq4,0.02531645569620253
4,Low,freq5,0.05063291139240506
4,Low,freq6,0.008438818565400843
4,Low,freq7,0.25316455696202533
4,Low,freq8,0.08438818565400844
4,Very Low,freq1,0.2727272727272727
4,Very Low,freq2,0.14285714285714285
4,Very Low,freq3,0.16883116883116883
4,Very Low,freq4,0.05194805194805195
4,Very Low,freq5,0.05844155844155844
4,Very Low,freq6,0.025974025974025976
4,Very Low,freq7,0.2987012987012987
4,Very Low,freq8,0.08441558441558442
4,NA,freq1,0.1794871794871795
4,NA,freq2,0.10256410256410256
4,NA,freq3,0.1282051282051282
4,NA,freq4,0
4,NA,freq5,0.05128205128205128
4,NA,freq6,0
4,NA,freq7,0.23076923076923078
4,NA,freq8,0.1282051282051282
6,Full,freq1,0.21521335807050093
6,Full,freq2,0.12987012987012986
6,Full,freq3,0.05194805194805195
6,Full,freq4,0.00927643784786642
6,Full,freq5,0.00927643784786642
6,Full,freq6,0.0037105751391465678
6,Full,freq7,0.15769944341372913
6,Full,freq8,0.13172541743970315
6,Marginal,freq1,0.26136363636363635
6,Marginal,freq2,0.13636363636363635
6,Marginal,freq3,0.09090909090909091
6,Marginal,freq4,0.03409090909090909
6,Marginal,freq5,0.011363636363636364
6,Marginal,freq6,0
6,Marginal,freq7,0.26136363636363635
6,Marginal,freq8,0.125
6,Low,freq1,0.1875
6,Low,freq2,0.0875
6,Low,freq3,0.0125
6,Low,freq4,0.0125
6,Low,freq5,0
6,Low,freq6,0
6,Low,freq7,0.1625
6,Low,freq8,0.075
6,Very Low,freq1,0.2222222222222222
6,Very Low,freq2,0
6,Very Low,freq3,0.1111111111111111
6,Very Low,freq4,0
6,Very Low,freq5,0
6,Very Low,freq6,0
6,Very Low,freq7,0.1111111111111111
6,Very Low,freq8,0
6,NA,freq1,0.2127659574468085
6,NA,freq2,0.0851063829787234
6,NA,freq3,0.02127659574468085
6,NA,freq4,0
6,NA,freq5,0
6,NA,freq6,0
6,NA,freq7,0.1276595744680851
6,NA,freq8,0.10638297872340426
7,Full,freq1,0.3076923076923077
7,Full,freq2,0.16153846153846155
7,Full,freq3,0.09230769230769231
7,Full,freq4,0.06153846153846154
7,Full,freq5,0.06153846153846154
7,Full,freq6,0.007692307692307693
7,Full,freq7,0.2923076923076923
7,Full,freq8,0.17692307692307693
7,Marginal,freq1,0.39473684210526316
7,Marginal,freq2,0.18421052631578946
7,Marginal,freq3,0.13157894736842105
7,Marginal,freq4,0.02631578947368421
7,Marginal,freq5,0.05263157894736842
7,Marginal,freq6,0.02631578947368421
7,Marginal,freq7,0.4473684210526316
7,Marginal,freq8,0.18421052631578946
7,Low,freq1,0.2777777777777778
7,Low,freq2,0.3333333333333333
7,Low,freq3,0.2222222222222222
7,Low,freq4,0.05555555555555555
7,Low,freq5,0.05555555555555555
7,Low,freq6,0
7,Low,freq7,0.3888888888888889
7,Low,freq8,0.2222222222222222
7,Very Low,freq1,0.38461538461538464
7,Very Low,freq2,0.19230769230769232
7,Very Low,freq3,0.34615384615384615
7,Very Low,freq4,0.038461538461538464
7,Very Low,freq5,0
7,Very Low,freq6,0.038461538461538464
7,Very Low,freq7,0.38461538461538464
7,Very Low,freq8,0.23076923076923078
7,NA,freq1,0.1111111111111111
7,NA,freq2,0
7,NA,freq3,0
7,NA,freq4,0
7,NA,freq5,0
7,NA,freq6,0
7,NA,freq7,0.1111111111111111
7,NA,freq8,0
